#2212 - Zanjan
capital = "Zanjan"
trade_goods = spices
base_tax = 3
base_production = 3
base_manpower = 1
is_city = no
discovered_by = muslim
discovered_by = ottoman
discovered_by = nomad_group
discovered_by = indian
1442.1.1 = { 
	owner = QOM
	controller = QOM
	add_core = QOM
}
1451.1.1 = { 
	owner = QAR
	controller = QAR
	add_core = QAR
}
1469.2.4 = { 
	owner = AKK
	controller = AKK
	add_core = AKK
}
1496.2.8 = { controller = REB revolt = { type = pretender_rebels name = "Muhammad's Faction" size = 0 leader = "Muhammad Ak Koyunlu" } }
1501.7.1 = { controller = AKK revolt = { size = 1 } }
1504.1.1 = { 
	owner = PER
	controller = PER
}
1673.1.1 = { discovered_by = ENG }
1707.5.12 = { discovered_by = GBR }
1747.1.1 = { 
	owner = ARL
	controller = ARL
}
1808.1.1 = { 
	owner = PER
	controller = PER
}
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
add_core = QOM
