#4278 - Qunfudhah
capital = "Qunfudhah"
trade_goods = incense
base_tax = 2
base_production = 2
base_manpower = 2
is_city = no
discovered_by = muslim
discovered_by = ottoman
discovered_by = western
discovered_by = indian
discovered_by = nomad_group
discovered_by = east_african
1421.1.1 = { discovered_by = MNG }
1488.1.1 = { discovered_by = POR }
1770.1.1 = { 
	owner = MAM
	controller = MAM
	add_core = MAM
}
1772.1.1 = { owner = HED controller = HED }
1802.1.1 = { 
	owner = NAJ
	controller = NAJ
	add_core = NAJ
}
1813.1.1 = { 
	owner = TUR
	controller = TUR
	add_core = TUR
}
discovered_by = MNG
discovered_by = MNG
discovered_by = MNG
discovered_by = MNG
discovered_by = MNG
discovered_by = MNG
discovered_by = MNG
discovered_by = MNG
discovered_by = MNG
discovered_by = MNG
discovered_by = MNG
discovered_by = MNG
discovered_by = MNG
discovered_by = MNG
discovered_by = MNG
discovered_by = MNG
discovered_by = MNG
discovered_by = MNG
discovered_by = MNG
discovered_by = MNG
discovered_by = MNG
discovered_by = MNG
discovered_by = MNG
discovered_by = MNG
discovered_by = MNG
discovered_by = MNG
discovered_by = MNG
discovered_by = MNG
discovered_by = MNG
discovered_by = MNG
discovered_by = MNG
discovered_by = MNG
discovered_by = MNG
